,repo_name,repo_link,repo_number_of_stars,repo_number_of_forks,repo_is_forked,percentage_python_lang,number_of_code_lines_in_repo,lambdas_number
0,30-days-of-python,https://github.com/Asabeneh/30-Days-Of-Python,107000.0,26000.0,False,94.7,3389,0
1,3d-resnets-pytorch,https://github.com/kenshohara/3D-ResNets-PyTorch,33000.0,881.0,False,100.0,1729,5
2,3ddfa,https://github.com/cleardusk/3DDFA,33000.0,624.0,False,74.4,1090,9
3,alae,https://github.com/podgorskiy/ALAE,33000.0,546.0,False,100.0,3180,1
4,aidlearning-framework,https://github.com/aidlearning/AidLearning-FrameWork,47000.0,688.0,False,97.5,428,0
5,algorithmsbypython,https://github.com/Jack-Lee-Hiter/AlgorithmsByPython,35000.0,13000.0,False,99.7,5375,1
6,anti-anti-spider,https://github.com/luyishisi/Anti-Anti-Spider,7000.0,22000.0,False,99.9,253,0
7,archivebox,https://github.com/ArchiveBox/ArchiveBox,136000.0,781.0,False,50.1,3854,103
8,augmentor,https://github.com/mdbloice/Augmentor,47000.0,849.0,False,100.0,5648,3
9,autosploit,https://github.com/NullArray/AutoSploit,46000.0,11000.0,False,93.0,918,0
10,baota,https://github.com/aaPanel/BaoTa,34000.0,853.0,False,45.5,49122,29
11,bayesianoptimization,https://github.com/fmfn/BayesianOptimization,6000.0,13000.0,False,100.0,1830,5
12,bottles,https://github.com/bottlesdevs/Bottles,3000.0,114.0,False,97.4,676,0
13,cactus,https://github.com/eudicots/Cactus,34000.0,318.0,False,96.5,1189,6
14,chatterbot,https://github.com/gunthercox/ChatterBot,123000.0,41000.0,False,100.0,6535,21
15,ciphey,https://github.com/Ciphey/Ciphey,10000.0,644.0,False,100.0,1340,3
16,cirq,https://github.com/quantumlib/Cirq,33000.0,749.0,False,91.7,8870,1
17,crackmapexec,https://github.com/byt3bl33d3r/CrackMapExec,6000.0,13000.0,False,87.3,1009,0
18,ctci-6th-edition-python,https://github.com/careercup/CtCI-6th-Edition-Python,4000.0,16000.0,False,100.0,5234,2
19,cura,https://github.com/Ultimaker/Cura,39000.0,16000.0,False,70.0,7627,11
20,abu,https://github.com/bbfamily/abu,91000.0,32000.0,False,100.0,5414,8
21,adminset,https://github.com/guohongze/adminset,3000.0,14000.0,False,99.3,5942,0
22,adversarial-robustness-toolbox,https://github.com/Trusted-AI/adversarial-robustness-toolbox,3000.0,835.0,False,99.7,9730,15
23,aiohttp,https://github.com/aio-libs/aiohttp,125000.0,18000.0,False,97.4,44245,13
24,aiortc,https://github.com/aiortc/aiortc,29000.0,587.0,False,100.0,13479,10
25,airflow,https://github.com/apache/airflow,263000.0,107000.0,False,94.0,12152,8
